cdr_filters = CDR-Filter
cdr_filters.billsec =  Sprechzeit
cdr_filters.billsec.tooltip =  Sprechzeitbereich in Sekunden
cdr_filters.billsec_from =  Anfängliche Gesprächszeit
cdr_filters.billsec_from.placeholder =  Von
cdr_filters.billsec_to =  Sprechzeit beenden
cdr_filters.billsec_to.placeholder =  Zu
cdr_filters.conditions =  Suchbedingung hinzufügen
cdr_filters.conditions.condition =  Zustand
cdr_filters.conditions.condition.and =  UND
cdr_filters.conditions.condition.or =  ODER
cdr_filters.conditions.exclude =  Ausschließen
cdr_filters.conditions.exclude.no =  Nein
cdr_filters.conditions.exclude.yes =  Jawohl
cdr_filters.conditions.mode =  Modus
cdr_filters.conditions.mode.begins_with =  Beginnt mit
cdr_filters.conditions.mode.contains =  Enthält
cdr_filters.conditions.mode.ends_with =  Endet mit
cdr_filters.conditions.mode.exactly =  Genau
cdr_filters.conditions.search_by =  Suche nach
cdr_filters.conditions.search_by.accountcode =  Konto Code
cdr_filters.conditions.search_by.customer_code =  Kundennummer
cdr_filters.conditions.search_by.clid =  Anruferidentifikation
cdr_filters.conditions.search_by.disposition =  Status
cdr_filters.conditions.search_by.dst =  Ziel
cdr_filters.conditions.search_by.src =  Quelle
cdr_filters.conditions.value =  Wert
cdr_filters.description =  Beschreibung
cdr_filters.description.tooltip =  Freitextbeschreibung für diesen Filter
cdr_filters.duration =  Dauer
cdr_filters.duration.tooltip =  Anrufdauerbereich in Sekunden
cdr_filters.duration_from =  Anfangsdauer
cdr_filters.duration_from.placeholder =  Von
cdr_filters.duration_to =  Enddauer
cdr_filters.duration_to.placeholder =  Zu
cdr_filters.general =  Allgemein
cdr_filters.none =  Keiner
menu.cdr_filters =  CDR-Filter
module.cdr_filters =  CDR-Filter
cdr_filters.no_conditions =  Es wurden keine Suchbedingungen definiert
cdr_filters.conditions.search_by.did =  {repcdr.did}
