dashboard.asterisk = Asterisk
dashboard.asterisk_uptime =  Asterisk-Betriebszeit
dashboard.available =  Verfügbar
dashboard.current_time =  Aktuelle Uhrzeit
dashboard.dahdi =  DAHDI
dashboard.general =  System-Dashboard
dashboard.network_usage =  Netzwerknutzung
dashboard.server_uptime =  Serverbetriebszeit
dashboard.services_status =  Servicestatus
dashboard.ssh =  SSH
dashboard.system_usage =  Systemnutzung
dashboard.used =  In Gebrauch
menu.dashboard =  Armaturenbrett
module.dashboard =  Armaturenbrett
dashboard.firewall =  Firewall
dashboard.intrusion_detection =  Einbruchserkennung
dashboard.cpu_usage =  CPU auslastung
dashboard.memory_usage =  Speichernutzung
dashboard.devices =  {0} Geräte
dashboard.contacts =  {0} Kontakte
dashboard.devices.info =  %s registriert / %s nicht registriert
dashboard.active_calls =  Aktive Anrufe
dashboard.disk_usage =  Festplattennutzung
dashboard.used_space =  Belegter Speicherplatz
dashboard.free_space =  Freiraum
dashboard.last_minute =  Letzte Minute
dashboard.last_five_minutes =  Letzte fünf Minuten
dashboard.last_fifteen_minutes =  Letzte fünfzehn Minuten
dashboard.cpu =  Zentralprozessor
dashboard.memory =  Speicher
dashboard.swap =  Wechsel
dashboard.usage =  Verwendungszweck
dashboard.last_60_seconds =  Letzte 60 Sekunden
dashboard.free =  Kostenlos
dashboard.system_services =  Systemdienste
dashboard.extensions =  Nebenstellen
dashboard.trunks =  Stämme
dashboard.queues =  Warteschlangen
dashboard.ivrs =  IVRs
dashboard.conferences =  Konferenzen
dashboard.parking_lots =  Parkplätze
dashboard.unlimited =  Unbegrenzt
dashboard.hardware_info =  Hardware-Info
dashboard.motherboard =  Hauptplatine
dashboard.cpu_model =  CPU-Modell
dashboard.cpu_cores =  CPU-Kerne
dashboard.ram =  RAM
dashboard.system_info =  System Information
dashboard.distro  =  Vertrieb
dashboard.kernel =  Kernel
dashboard.asterisk_version =  Asterisk
dashboard.last_boot =  Letzter Start
dashboard.virtualization =  Virtualisierung
dashboard.softphone_devices =  Softphone-Geräte
dashboard.disk_usage.info =  %s verwendet / %s kostenlos
dashboard.uptime =  Betriebszeit
dashboard.call_traffic_today =  Anrufverkehr heute
dashboard.hour =  Stunde
dashboard.calls =  Anrufe
dashboard.running  = läuft
dashboard.stopped =  Gestoppt
