disa = DISA
disa.cid =  Anruferidentifikation
disa.cid.tooltip =  Anrufer-ID für diese Disa.
disa.cid_name =  Name
disa.cid_number =  Nummer
disa.class_of_service_id =  Dienstleistungsklasse
disa.class_of_service_id.tooltip =  Gibt den Wählplankontext an, in dem die vom Benutzer eingegebene Nebenstelle abgeglichen wird.
disa.description =  Beschreibung
disa.description.tooltip =  Kurze Beschreibung zur Identifizierung dieses DISA.
disa.digittimeout =  Ziffern-Timeout
disa.digittimeout.tooltip =  Die maximal zulässige Zeit zwischen den Ziffern, wenn der Benutzer eine Nebenstelle eingibt.
disa.general =  Allgemein
disa.password =  Passwort
disa.password.invalid =  Passwort ist ungültig. Verwenden Sie nur Zahlen und das Symbol "*" (Sternchen).
disa.password.tooltip =  Numerischer Zugangscode, der eingegeben werden muss, damit der Anrufer Anrufe tätigen kann.
disa.resptimeout =  Reaktionszeitüberschreitung
disa.resptimeout.tooltip =  Die maximale Wartezeit auf die erste Ziffer
menu.disa =  DISA
module.disa =  DISA
