status_report.registrations = Anmeldungen
status_report.channels =  Kanäle
status_report.type =  Typ
status_report.host =  Gastgeber
status_report.username =  Nutzername
status_report.state =  Bundesland
status_report.reg_time =  Registrierungszeit
status_report.peers =  Gleichaltrigen
status_report.status =  Status
status_report.conferences =  Konferenzen
status_report.subscriptions =  Abonnements
status_report.voicemail =  Voicemail
status_report.queue =  Warteschlange
status_report.queues =  Warteschlangen
status_report.channel =  Kanal
status_report.cid =  Anruferidentifikation
status_report.clid =  Angerufene Nummer
status_report.port =  Hafen
status_report.dynamic =  Dynamisch
status_report.rport =  RPORT
status_report.comedia =  Komödien
status_report.description =  Beschreibung
status_report.acl =  ACL
status_report.extension =  Verlängerung
status_report.context =  Kontext
status_report.hint =  Hinweis
status_report.hints =  Hinweise
status_report.mailbox =  Briefkasten
status_report.user =  Benutzer
status_report.new_messages =  Neue Nachrichten
status_report.refresh =  Aktualisierung
status_report.sip_registration =  SIP-Registrierungen
status_report.iax_registration =  IAX-Registrierungen
status_report.sip_peers =  SIP-Peers
status_report.iax_peers =  IAX-Peers
status_report.no_queues =  Keine Warteschlangen definiert
status_report.calls =  Anrufe
status_report.max =  Max
status_report.strategy =  Strategie
status_report.holdtime =  Haltezeit
status_report.talktime =  Sprechzeit
status_report.weight =  Gewicht
status_report.completed =  Vollendet
status_report.abandoned =  Verlassen
status_report.unlimited =  Unbegrenzt
status_report.members =  Mitglieder
status_report.name =  Name
status_report.location =  Standort
status_report.membership =  Mitgliedschaft
status_report.incall =  Incall
status_report.paused =  Angehalten
status_report.duration =  Dauer
status_report.summary =  Zusammenfassung
status_report.active_calls =  Aktive Anrufe
status_report.active_channels =  Aktive Kanäle
module.status_report =  Statusbericht
menu.pbx_reports =  PBX-Berichte
menu.status =  Status
status_report.pjsip_registration =  PJSIP-Registrierungen
status_report.trunk =  Amtsleitung/Endpunkt
